Region,Proxy or Full MSA,Year,hpi,hpi_growth,hpi_growth_pct
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2008,226.7725,-0.281547016,-28.15470156
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2009,181.2175,-0.200884146,-20.0884146
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2010,175.915,-0.029260419,-2.926041911
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2011,167.4275,-0.048247733,-4.824773328
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2012,166.985,-0.002642935,-0.2642935
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2013,193.6725,0.159819744,15.98197443
"San Diego-Chula Vista-Carlsbad, CA Metro Area",Full,2014,225.565,0.164672321,16.46723205
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2005,286.385,NA,NA
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2006,307.84,0.074916633,7.49166332
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2007,304.7575,-0.010013319,-1.001331861
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2008,277.7425,-0.08864425,-8.864424994
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2009,253.7175,-0.086500986,-8.650098563
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2010,249.16,-0.017962892,-1.79628918
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2011,240.8875,-0.033201557,-3.320155723
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2012,247.4325,0.02717036,2.717035961
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2013,281.3775,0.13718893,13.71889303
"San Francisco-Oakland-Fremont, CA Metro Area",Proxy,2014,318.255,0.131060586,13.10605859
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2005,216.91,NA,NA
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2006,251.42,0.159098244,15.90982435
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2007,270.7025,0.076694376,7.669437594
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2008,260.905,-0.036192869,-3.619286855
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2009,235.4075,-0.097727142,-9.772714206
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2010,220.18,-0.064685705,-6.468570458
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2011,206.7375,-0.061052321,-6.105232083
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2012,206.87,6.41E-04,0.064090937
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2013,223.45,0.080146952,8.014695219
"Seattle-Tacoma-Bellevue, WA Metro Area",Proxy,2014,244,0.091966883,9.196688297
USA,Full,2005,348.5225,NA,NA
USA,Full,2006,373.4975,0.071659649,7.165964895
USA,Full,2007,377.6425,0.011097799,1.109779851
USA,Full,2008,358.22,-0.051430917,-5.143091681
USA,Full,2009,338.3375,-0.055503601,-5.550360114
USA,Full,2010,324.5225,-0.040832009,-4.083200946
USA,Full,2011,311.96,-0.038710721,-3.871072114
USA,Full,2012,311.1225,-0.002684639,-0.268463906
USA,Full,2013,322.7475,0.037364704,3.736470361
USA,Full,2014,338.765,0.04962858,4.962857962
